"","ssp","summer_drought_stress_risk","summer_insect_risk","summer_disease_risk","pad","actual_chill","winter_mean_temp","spring_pollinator","spring_disease_risk","spring_frost_risk","fruit_frost_risk","fruit_drought_stress_risk","fruit_hail_risk","fruit_sunburn_risk","fruit_insect_risk","fruit_disease_risk","fruit_snail_risk","harvest_frost_risk","harvest_heat_risk","harvest_hail_risk","harvest_rain_risk","harvest_fly_risk","summer_mean_temp","spring_mean_temp","fruit_mean_temp","harvest_mean_temp","id"
"ssp370--CNRM-ESM2-1--2075--2095","ssp370",0.4,0.45,0,57,105.35,7.32781456953642,0.3,0,1,0,0.09,0.05,0,0.1,0,0,0,0.1,0.1,0,0.4,13.4534583333333,6.87933333333333,16.456,19.3307575757576,3595
"ssp370--CNRM-ESM2-1--2075--2096","ssp370",0.17,0,0,50,95.44,7.49701986754967,0.25,0,0.3,0,0.05,0.1,0,0,0,0.1,0,0,0.05,0.15,0.45,11.833,9.13441666666667,14.2836666666667,16.3951515151515,3596
"ssp370--CNRM-ESM2-1--2075--2097","ssp370",0.07,0.2,0,33,103.61,6.89132450331126,0.266666666666667,0,0.25,0,0.11,0.15,0,0,0.15,0.15,0,0.15,0.15,0.15,0.4,10.5564166666667,8.935,15.6693333333333,18.7279411764706,3597
"ssp370--CNRM-ESM2-1--2075--2098","ssp370",0.38,0,0,27,104.06,7.29880794701987,0.266666666666667,0,0.5,0,0.08,0,0,0,0,0.1,0,0.3,0,0.15,0.15,11.101375,9.753,13.7243333333333,21.5207575757576,3598
"ssp370--CNRM-ESM2-1--2075--2099","ssp370",0.37,0.45,0,31,106.69,6.86993377483444,0.366666666666667,0,0.2,0.1,0.05,0,0,0,0,0,0,0.2,0.05,0.3,0.7,12.0239583333333,10.9393333333333,11.9203333333333,18.3578787878788,3599
"ssp370--CNRM-ESM2-1--2075--2100","ssp370",0.31,0,0,33,105.58,7.26417218543046,0.316666666666667,0,0.55,0,0.13,0,0,0.15,0,0,0,0.25,0.05,0.3,0.4,11.1272083333333,9.30166666666667,18.5315,18.8186363636364,3600
"ssp370--EC-Earth3-AerChem--2075--2001","ssp370",0.28,0.15,0,43,99.89,7.14331125827815,0.266666666666667,0,0.4,0,0,0.1,0,0,0,0.1,0,0.55,0.05,0.45,0.1,12.34325,9.79091666666667,16.8996666666667,20.8855882352941,3601
"ssp370--EC-Earth3-AerChem--2075--2002","ssp370",0.16,0.2,0,39,102.04,6.98867549668874,0.366666666666667,0,0.35,0,0.07,0.05,0,0.1,0.1,0,0,0.35,0.1,0,0.5,10.9574166666667,10.6271666666667,18.1103333333333,20.035303030303,3602
"ssp370--EC-Earth3-AerChem--2075--2003","ssp370",0.05,0.35,0,37,106.88,7.16635761589404,0.333333333333333,0,0.35,0,0,0.1,0,0.1,0,0,0,0.5,0.05,0,0.5,11.5385,9.79258333333333,17.2185,21.2630303030303,3603
"ssp370--EC-Earth3-AerChem--2075--2004","ssp370",0.34,0.2,0,50,89.62,7.70907284768212,0.45,0,0.6,0,0.06,0.05,0,0,0,0,0,0.15,0,0,0.15,12.7035833333333,10.33075,16.274,18.5962121212121,3604
"ssp370--EC-Earth3-AerChem--2075--2005","ssp370",0.29,0.1,0,40,103.11,7.3376821192053,0.45,0,0.4,0,0.14,0.05,0,0,0,0,0,0.25,0.05,0,0.4,12.7215,10.2879166666667,15.8506666666667,20.0048529411765,3605
"ssp370--EC-Earth3-AerChem--2075--2006","ssp370",0.33,0.45,0.1,49,99.46,8.28516556291391,0.416666666666667,0,0.25,0.05,0.06,0,0,0,0,0.1,0,0.45,0.1,0.6,0.45,12.5364166666667,11.2421666666667,16.1221666666667,22.3290909090909,3606
"ssp370--EC-Earth3-AerChem--2075--2007","ssp370",0.12,0.3,0,40,105.47,6.63529801324503,0.316666666666667,0,0.3,0,0.1,0,0,0,0.1,0.15,0,0.15,0.05,0.3,0.45,10.596625,10.7978333333333,18.2391666666667,19.6225757575758,3607
