"","id","today","ssp1","ssp2","ssp3","ssp5"
"marketable_yield_today272","344",60.4817456327527,70.7690069590514,72.7890087729236,72.8912536776361,73.0517319709864
"marketable_yield_today273","345",56.9575679461229,68.1003992385877,70.405490859827,71.1579832585917,71.5803389010293
"marketable_yield_today274","346",53.6367480861386,66.368938987868,69.9948096222211,71.5287020956378,71.3540224902323
"marketable_yield_today275","347",50.4633567882605,64.0915505432718,68.2128347550251,70.5031550659938,71.1984712333588
"marketable_yield_today276","348",49.2207805399311,62.8482409385975,67.4120108321401,69.5391614825509,70.4028242229347
"marketable_yield_today277","349",47.4456529860303,62.1107949082051,66.189274845332,68.4528584776732,69.4844621856013
"marketable_yield_today278","35",57.7638174319074,69.1409256711341,72.1391252496533,71.9633647068919,72.2180722421449
"marketable_yield_today279","350",45.4837436588086,60.5959971122138,64.8946254678554,67.9557767527799,69.0970588566418
"marketable_yield_today280","351",44.2965017522105,59.5966427783818,64.8266173309011,68.0197562909597,69.4599526243689
"marketable_yield_today281","352",42.1279461753726,58.0736860688992,63.4283278258,67.7314922958114,68.8904884554976
"marketable_yield_today282","353",40.2835118399364,57.4829364321366,62.9783262270821,66.418372785561,68.2031928260341
"marketable_yield_today283","354",38.97248007509,54.8579393257178,60.3996655437181,65.0880226705759,66.8765193901281
"marketable_yield_today284","355",38.2320471319175,54.9542225158295,60.3105995337987,64.6922534453068,66.8739611433871
"marketable_yield_today285","356",37.2349697058233,54.6240143771552,60.2634706343792,64.9104085600206,66.2005586709275
"marketable_yield_today286","357",37.4178114962048,53.9655969917348,59.9571963064062,64.9144340139263,66.8566328808224
"marketable_yield_today287","358",34.9256123204852,51.1330968736539,56.9173396389511,62.0595898439071,64.7599126559674
"marketable_yield_today288","359",31.9394438315497,49.2128775751711,55.006370521612,60.7813538772981,63.3109696700065
"marketable_yield_today289","36",57.8912524541483,68.8720388291298,71.1181621147663,71.2157803987592,71.310091400233
"marketable_yield_today290","360",29.3962000000236,46.2809444524834,52.8609288500326,58.7063780018096,62.0610368783087
"marketable_yield_today291","361",28.3793035453883,45.5958178568906,52.6217975272401,58.5245632472886,62.2107560898939
"marketable_yield_today292","362",27.7774984012726,44.4909759342044,51.1464236361909,57.6948840613241,60.8578019190863
"marketable_yield_today293","363",31.4103012818023,47.9429815571735,53.8047419990704,59.7156291676203,62.1716690846939
"marketable_yield_today294","364",35.0840211161673,51.6583277736903,57.3547094739615,62.3277429194962,65.1539598107615
"marketable_yield_today295","365",63.2419875521051,68.4829920286642,69.7722899302914,66.8897595759975,66.8003930303604
"marketable_yield_today296","366",63.1252381894512,71.9730061918707,74.0360023872382,73.1265907632149,72.4134763183205
"marketable_yield_today297","367",62.8978549360454,71.9736914717811,74.2421314715564,73.6004878072353,73.1772987860544
"marketable_yield_today298","368",61.5464955642383,71.2706487559104,73.4458433408651,73.1703526472592,72.8912701180383
"marketable_yield_today299","369",61.1347672136298,71.5224267432472,73.8737679016816,73.4859479133692,73.3847042565763
"marketable_yield_today300","37",56.490098675443,68.951166382092,72.1271129790222,72.6467368880988,72.9165871933324
"marketable_yield_today301","370",62.9434092448619,72.3270896562198,74.374719688656,73.8353578725561,73.1960483752479
"marketable_yield_today302","371",62.8320029615763,71.7838685765688,73.0992813588957,72.9818306190771,72.4786691395881
