"","id","ssp1","ssp2","ssp3","ssp5"
"marketable_yield_ssp1228","304",13.3930540101287,17.7661613841489,20.5683591647131,21.300503211222
"marketable_yield_ssp1229","305",14.0694391680048,18.0556598268644,20.9445266570432,22.090121992507
"marketable_yield_ssp1230","306",9.53825302418415,11.7291405586339,11.1848155635745,10.6433663474508
"marketable_yield_ssp1231","307",10.0184433466626,12.2215206249681,11.7708760251508,11.1267796572435
"marketable_yield_ssp1232","308",9.66206898520049,12.0844465775348,11.7547927330298,11.3927700265685
"marketable_yield_ssp1233","309",9.0012010081937,10.5988477472802,10.54242995675,9.91982185659563
"marketable_yield_ssp1234","31",12.1374078520812,15.0856514686369,15.427669539114,14.9860245848437
"marketable_yield_ssp1235","310",8.01426810043974,10.0988174255859,9.72385066952298,9.60584279038624
"marketable_yield_ssp1236","311",8.41561773889909,9.84963671771329,9.71492028604319,9.54758610770625
"marketable_yield_ssp1237","312",9.54761870535895,11.3576326978292,11.0414068493351,10.6735581201806
"marketable_yield_ssp1238","313",11.5100347000023,14.1441782296103,14.5840667653254,14.0629829195794
"marketable_yield_ssp1239","314",11.8026693474525,14.733488828512,14.8490906575915,14.7589232455618
"marketable_yield_ssp1240","315",13.0311402286285,15.7942394122402,16.9761858106907,17.1356736239645
"marketable_yield_ssp1241","316",12.4556546911248,15.7641725237176,16.9442912217491,17.3365964855204
"marketable_yield_ssp1242","317",11.8275626937495,15.3620277653818,16.8886076758445,16.7582199171228
"marketable_yield_ssp1243","318",12.9298921431939,16.408293524765,17.9415983205719,18.6574509805137
"marketable_yield_ssp1244","319",13.2640637493799,16.9888942819073,18.7660911549975,19.0142285232841
"marketable_yield_ssp1245","32",12.1172090589416,14.6517855461451,14.9942878910902,14.8345123017264
"marketable_yield_ssp1246","320",14.1587239918764,18.4610642767585,20.4597894205351,21.4273189481153
"marketable_yield_ssp1247","321",15.2552805003821,19.5412171807209,22.150435272101,22.9358579967714
"marketable_yield_ssp1248","322",15.9124019641599,20.246073119185,22.7828767018766,24.1434828566751
"marketable_yield_ssp1249","323",15.9893879511644,20.9456768547092,24.2724032517365,25.5491231046028
"marketable_yield_ssp1250","324",15.9583771983566,20.5952188812365,24.3061800389381,26.0318725210105
"marketable_yield_ssp1251","325",16.7021368405558,21.970282649398,25.77171820052,27.3746345486347
"marketable_yield_ssp1252","326",17.6190585611412,23.2205763923106,27.2625946534409,28.9740622879189
"marketable_yield_ssp1253","327",16.3715840343517,22.2076511885351,26.6601492348175,28.640506781679
"marketable_yield_ssp1254","328",18.1547180619711,24.4349253294937,28.9490377183579,30.9247173904992
"marketable_yield_ssp1255","329",17.3448704567556,23.3316911865092,28.8767728951263,31.2540007890645
"marketable_yield_ssp1256","33",12.2376012134454,15.1082933939946,14.8890879706538,15.1155496822045
"marketable_yield_ssp1257","330",17.2684428827861,23.9000947508594,29.5147621932877,32.1485160806517
"marketable_yield_ssp1258","331",17.0078451849156,23.0331449001511,28.3150191062436,30.7602598785958
"marketable_yield_ssp1259","332",17.6914747124725,23.5722252458682,28.3493718299073,30.0091451719402
"marketable_yield_ssp1260","333",16.0634530661352,21.3253232292858,25.4825258688548,27.3714448153628
"marketable_yield_ssp1261","334",15.2387942969259,19.7025461104051,23.5060319013598,24.8170751162416
"marketable_yield_ssp1262","335",14.7102739717061,19.4852458055852,22.4137876280612,23.9855376852209
"marketable_yield_ssp1263","336",14.7364435347086,19.1676622594611,22.3758385180707,23.6824719002649
"marketable_yield_ssp1264","337",10.1401027926907,12.1329162517705,11.873039454844,10.8255156379404
"marketable_yield_ssp1265","338",10.4514894322869,12.3567694561102,11.6529029912858,11.3005427167242
"marketable_yield_ssp1266","339",9.58349329040773,11.7726514843879,11.4616932275448,10.6648805185695
"marketable_yield_ssp1267","34",12.125750074909,15.1797837497712,15.8929643406561,15.6577035353191
"marketable_yield_ssp1268","340",9.34777213755694,11.4834040515034,10.8545427713172,10.8249785256542
"marketable_yield_ssp1269","341",9.53966041270403,11.2411252458176,10.9976871965682,10.8346945483877
"marketable_yield_ssp1270","342",9.21053808154954,10.8749793526965,10.3764491680751,10.2296566838763
"marketable_yield_ssp1271","343",10.1083459557776,11.6738311188229,11.3426646390988,11.0851792738141
"marketable_yield_ssp1272","344",10.2872613262987,12.3072631401709,12.4095080448834,12.5699863382337
"marketable_yield_ssp1273","345",11.1428312924648,13.4479229137041,14.2004153124688,14.6227709549064
"marketable_yield_ssp1274","346",12.7321909017295,16.3580615360826,17.8919540094993,17.7172744040937
"marketable_yield_ssp1275","347",13.6281937550113,17.7494779667646,20.0397982777333,20.7351144450983
"marketable_yield_ssp1276","348",13.6274603986664,18.191230292209,20.3183809426199,21.1820436830037
"marketable_yield_ssp1277","349",14.6651419221748,18.7436218593017,21.007205491643,22.0388091995711
"marketable_yield_ssp1278","35",11.3771082392266,14.3753078177458,14.1995472749845,14.4542548102375
"marketable_yield_ssp1279","350",15.1122534534052,19.4108818090468,22.4720330939714,23.6133151978333
"marketable_yield_ssp1280","351",15.3001410261713,20.5301155786906,23.7232545387492,25.1634508721584
"marketable_yield_ssp1281","352",15.9457398935266,21.3003816504274,25.6035461204387,26.7625422801249
"marketable_yield_ssp1282","353",17.1994245922003,22.6948143871457,26.1348609456246,27.9196809860977
"marketable_yield_ssp1283","354",15.8854592506277,21.4271854686281,26.1155425954859,27.9040393150381
"marketable_yield_ssp1284","355",16.722175383912,22.0785524018811,26.4602063133893,28.6419140114695
"marketable_yield_ssp1285","356",17.3890446713319,23.0285009285559,27.6754388541973,28.9655889651041
"marketable_yield_ssp1286","357",16.54778549553,22.5393848102014,27.4966225177215,29.4388213846176
"marketable_yield_ssp1287","358",16.2074845531687,21.9917273184659,27.1339775234219,29.8343003354822
"marketable_yield_ssp1288","359",17.2734337436214,23.0669266900623,28.8419100457484,31.3715258384568
"marketable_yield_ssp1289","36",10.9807863749815,13.226909660618,13.3245279446108,13.4188389460847
"marketable_yield_ssp1290","360",16.8847444524598,23.464728850009,29.310178001786,32.6648368782851
"marketable_yield_ssp1291","361",17.2165143115023,24.2424939818518,30.1452597019003,33.8314525445056
"marketable_yield_ssp1292","362",16.7134775329318,23.3689252349183,29.9173856600515,33.0803035178137
"marketable_yield_ssp1293","363",16.5326802753712,22.3944407172681,28.3053278858181,30.7613678028916
"marketable_yield_ssp1294","364",16.574306657523,22.2706883577942,27.2437218033289,30.0699386945942
